dataType,dataName,devicetypes,elementTypes,section,page,order,attachTo,type,title,question,notes,units,required,hidden,protected,dontsend,requiresConfirmation,ignoreDefault,minutes,photo,commentTitle,ifExpr,defaultExpr,passfailExpr,failtext,options,columns,legacyId
Process,Variable,Device types,Element types,Section,Page,Order,Attach to,Type,Title,Question,Notes,Units,Required,Hidden,Protected,Reference data,Confirm,Ignore default,Minutes,Photo tag,Comment title,If,Default,Passfail,Fail text,Options,Columns,Legacy ID
design,loadSchedule,network,,Loads,,1001,,sheet,Schedule of loads,List the loads on the network,"Add, edit and copy down lines as with a normal spreadsheet. Right click for further actions including deleting lines.",,true,false,false,false,true,false,0,,,true,"[{""qty"":""130"",""kwCH"":""3"",""bedrooms"":""1"",""occupants"":""2"",""propertyType"":""Flat""},{""qty"":""20"",""kwCH"":""6"",""bedrooms"":""2"",""occupants"":""4"",""propertyType"":""Duplex""},{""qty"":""1"",""kwCH"":""5"",""bedrooms"":""0"",""occupants"":""2"",""propertyType"":""Office""}]",,,,"[{""name"":""propertyType"",""type"":""text"",""title"":""Property Type"",""width"":""120""},{""name"":""bedrooms"",""type"":""numeric"",""title"":""Bedrooms"",""width"":""120"",""decimal"":"".""},{""name"":""occupants"",""type"":""numeric"",""title"":""Occupants"",""width"":""120"",""decimal"":"".""},{""name"":""kwCH"",""type"":""numeric"",""title"":""Heating Load kW"",""width"":""120"",""decimal"":"".""},{""name"":""qty"",""type"":""numeric"",""title"":""Quantity"",""width"":""100"",""decimal"":"".""}]",254
design,nBuildings,network,,General,,1002,,integer,Number of buildings,How many buildings are fed from the network?,"The total number of buildings connected to the heat network. See https://hw7.ddns.net/ui/svgexplode?svg=HeatNetwork6.svg&display=g16444,g11206,bulkhm,g14636,landlordload,g16320,g5006,bufferstore,lowgrade,heatpump2,heatpump2-2,qton1,fbyp,hiu,g68266,singlemainpump,backupmainpump,g130841-3,g14610-0,g14636-2,g14610,finestrainer,cwsvcs,g14124,g14362.",buildings,true,false,false,false,true,false,0,,,true,,,,,,257
design,nIntakes,network,,General,,1003,,integer,Number of intake plantrooms,How many intake plantrooms are on the network?,"Where there is more than one building it is normal for each building to have an intake plantroom where pipework enters the building. This is where metering equipment, strainers, and additional pumping requirements or even substations are located. In some instances the same building may have multiple intake rooms, each feeding risers.",intakes,true,false,false,false,true,false,0,,,{{nBuildings}}>1,,,,,,264
design,nProperties,network,,General,,1004,,integer,Number of properties,How many properties are there?,The total number of properties connected to the heat network.,properties,true,false,false,false,true,false,0,,,false,,,,,,265
design,nPeople,network,,General,,1005,,integer,Total number of people,How many people are there in total?,,people,false,false,false,false,true,false,0,,,false,,,,,,266
design,tPeak,network,,General,,1006,,number,Peak network flow temperature,What is the peak network flow temperature?,,°C,true,false,false,false,true,false,0,,,true,80,,,,,262
design,hHighPoint,network,,General,,1007,,number,System height,What is the height of the tallest building?,,m,true,false,false,false,true,false,0,,,true,,,,,,255
design,supplyCWS,network,,Cold Water Services,,1008,,select,CWS Supply,How is cold water supplied?,,,true,false,false,false,true,false,0,,,true,,,,"[{""title"":""Mains Fed (unboosted)"",""value"":""direct mains""},{""title"":""Storage and boosted supply from plantroom"",""value"":""boosted in plantroom""},{""title"":""Storage and boosted supply in each building"",""value"":""boosted in buildings""},{""title"":""Storage and boosted supply in each intake room"",""value"":""boosted in intake rooms""},{""title"":""Mixed supplies"",""value"":""mixed supplies""}]",,256
design,tPriRtnDHW,network,,Domestic Hot Water,,1009,,number,DHW network return temperature,What is the network return temperature for DHW?,The temperature fed back from a property to the network when running peak load domestic hot water.,°C,false,false,false,false,true,false,0,,,true,19,,,,,260
design,profileDHW,network,,Domestic Hot Water,,1010,,select,DHW load profile,What hourly DHW load profie to use?,,,true,false,false,false,true,false,0,,,true,EST,,,"[{""title"":""EST Data"",""value"":""EST""}]",,258
design,typeEmitter,network,,Central Heating 1,,1011,,select,Central heating emitter,What types of central heating emitter are used?,,,true,false,false,false,true,false,0,,,{{kwCHMax}},,,,"[{""title"":""Radiators"",""value"":""radiator""},{""title"":""Underfloor heating (piped)"",""value"":""underfloor""},{""title"":""Fan convectors"",""value"":""fan""}]",,259
