dataType,dataName,devicetypes,elementTypes,section,page,order,attachTo,type,title,question,notes,units,required,hidden,protected,dontsend,requiresConfirmation,ignoreDefault,minutes,photo,commentTitle,ifExpr,defaultExpr,passfailExpr,failtext,options,columns,legacyId
Process,Variable,Device types,Element types,Section,Page,Order,Attach to,Type,Title,Question,Notes,Units,Required,Hidden,Protected,Reference data,Confirm,Ignore default,Minutes,Photo tag,Comment title,If,Default,Passfail,Fail text,Options,Columns,Legacy ID
acceptance,tTolerance,"dhw, hiu",,Standard Data,,3,,number,DHW Temperature Tolerance,What is the tolerance on DHW temperature accuracy?,Plus and minus the figure given.,°C,true,false,false,false,true,false,0,,,'{{typeDHW}}'=='PHEx',3,,,,,3
acceptance,tToleranceHTG,"hiu, ciu",,Standard Data,,4,,number,HTG Temperature Tolerance,What is the tolerance on HTG temperature accuracy?,Plus and minus the figure given.,°C,true,false,false,false,true,false,0,,,'{{typeHTG}}'!='' && '{{typeHTG}}'!='None',3,,,,,106
acceptance,propertyType,plot,cc,About,,12.1,,select,Select Property Type,Please select the property type.,Standard types are defined in the Standard Data section and specify the system setpoints and limits.,,true,false,false,false,true,false,0.2,,,true,,,,"""lookup('propertyTypes','propertyType','propertyType')""",,13
acceptance,nFloors,plot,cc,About,,12.15,,number,Number of floors,How many floor levels does the property have?,,,true,false,false,false,true,false,0.5,,,true,,,,,,118
acceptance,hiuType,hiu,cc,About,,12.2,,select,HIU Type,What type of HIU?,,,true,false,false,false,true,false,0.1,,,true,,,,"""lookup('hiuTypes','hiuType','hiuType')""",,116
acceptance,isBath,plot,cc,About,,12.3,,boolean,Bath tub fitted,Please confirm if there is a bath tub ?,,,true,false,false,false,true,false,0.5,,,true,,,,,,16
acceptance,typeDHW,hiu,cc,About,,12.3,device,select,DHW Type,How is domestic hot water generated?,,,true,false,false,false,true,false,0.2,,,,,,,"[{""title"":""PHEx (instantaneous)"",""value"":""PHEx""},{""title"":""Stored cylinder"",""value"":""Stored""},{""title"":""None"",""value"":""None""}]",,
acceptance,isEnsuite1,plot,cc,About,,12.31,,boolean,Ensuite with Shower,Please confirm if there is an en-suite bathroom ?,Seperate to main bathroom.,,false,false,false,false,true,false,0.25,,,true,,,,,,248
acceptance,tSetpointDHW,"hiu, unvented_cylinder",,DHW Setup,,15.01,,number,DHW Setpoint Temperature,What is the Target DHW Setpoint Temperature?,,°C,true,false,false,false,true,false,0.5,,,'{{typeDHW}}'=='PHEx',{{tSetDHW}},,,,,227
acceptance,typeEmitter,hiu,,Central Heating Setup,,16.2,,select,Central heating emitter,What types of central heating emitter are used?,,,true,false,false,false,true,false,0.5,,,'{{typeHTG}}'!='None',{{typeEmitterD}},,,"[{""title"":""Radiators"",""value"":""radiator""},{""title"":""Underfloor heating (piped)"",""value"":""underfloor""},{""title"":""Mixed, UFH & Rads"",""value"":""mixed""},{""title"":""Fan convectors"",""value"":""fan""}]",,119
acceptance,tSetpointHTG,hiu,,Central Heating Setup,,16.3,,number,HIU Heating Setpoint Temperature,What is the Target HIU Heating Setpoint Temperature?,,°C,true,false,false,false,true,false,0.5,,,'{{typeHTG}}'=='PHEx',{{tSetHTG}},,,,,230
acceptance,pHTGMin,"hiu, ciu",,Central Heating Setup,,16.35,,number,Minimum system fill pressure,What is the minimum system fill pressure ?,,bar,false,false,false,false,true,false,0,,,'{{typeHTG}}'=='PHEx',2,,,,,309
acceptance,nZones,hiu,,Central Heating Setup,,16.41,,number,Number of zones,How many heating zones are there on heating manifold?,,,true,false,false,false,true,false,0.5,,,'{{typeEmitter}}'=='underfloor'  || '{{typeEmitter}}'=='mixed',,,,,,120
